metric,value
low_band_spectral_rel_l2,6.85577467e-02
mid_band_spectral_rel_l2,1.48120165e+00
high_band_spectral_rel_l2,2.79063454e+01
high_frequency_energy_ratio_error,3.62766383e-04
gradient_rel_l2,2.13970828e+00
